127.0.0.1 - - [21/May/2020:14:13:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2020:14:13:30 +0900] "GET /ch07/product.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [21/May/2020:14:13:30 +0900] "GET /ch07/images/computer.png HTTP/1.1" 200 142037
0:0:0:0:0:0:0:1 - - [21/May/2020:14:13:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2020:14:17:29 +0900] "GET /ch07/product.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [21/May/2020:14:17:29 +0900] "GET /ch07/images/notebook.png HTTP/1.1" 200 31477
0:0:0:0:0:0:0:1 - - [21/May/2020:14:19:31 +0900] "GET /ch07/product.html HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2020:14:19:39 +0900] "GET /ch07/computer.html HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [21/May/2020:14:37:48 +0900] "GET /ch07/computer.html HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [21/May/2020:14:37:48 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:37:48 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:06 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:06 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:06 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:30 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:30 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:30 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:31 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:31 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:31 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:34 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:34 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:34 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:43 +0900] "GET /ch07/computer.html HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [21/May/2020:14:38:43 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2020:14:39:19 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:39:19 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 200 31477
0:0:0:0:0:0:0:1 - - [21/May/2020:14:52:13 +0900] "GET /ch07/home.html HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [21/May/2020:14:52:13 +0900] "GET /ch07/images/shop.png HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [21/May/2020:14:52:13 +0900] "GET /ch07/computer.html HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [21/May/2020:14:52:13 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 200 142037
0:0:0:0:0:0:0:1 - - [21/May/2020:15:07:42 +0900] "GET /ch07/home.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [21/May/2020:15:07:42 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:08:22 +0900] "GET /ch07/home.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:39 +0900] "GET /ch07/home.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:39 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:43 +0900] "GET /ch07/shopcart.html HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:47 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:50 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:51 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:53 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:56 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:57 +0900] "GET /ch07/music.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:57 +0900] "GET /ch07/mideas/old_pop.mp3 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2020:15:16:59 +0900] "GET /ch07/movie.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:17:04 +0900] "GET /ch07/register1.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/May/2020:15:17:09 +0900] "GET /ch07/home.html? HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [21/May/2020:15:17:11 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:19:57 +0900] "GET /ch07/mideas/old_pop.mp3 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2020:15:20:24 +0900] "GET /ch07/music.html HTTP/1.1" 200 387
